user_id,first_leads_dtm
61fa7f620000000010008947,20260516
5c527e15000000001b03f2c4,20260510
6666e6be000000000700511a,20260608
68157613000000000d00829c,20260523
626aafde0000000021028354,20260608
64339db9000000000e01eb63,20260528
6203a502000000001000da11,20260602
5dea10b3000000000100b40b,20260607
5e15eb6d00000000010043b0,20260529
5fb3b5e2000000000100a074,20260512
639eb088000000002702913c,20260601
6447e8bf000000001002b7fc,20260602
5b1f8ed3e8ac2b3a047cfff9,20260608
5cf9b627000000001801bab6,20260604
5d3fb3430000000011034ffd,20260531
5dac514e0000000001003a8f,20260525
5f3253df00000000010028aa,20260605
5dcfcf480000000001003807,20260523
63b9559e00000000260055a2,20260516
664e01560000000007004342,20260514
668e4f12000000000f034dab,20260523
66a79e4f000000001d0210b8,20260528
5bb4f9ed59b9bf0001b3a53c,20260606
591714c750c4b42b2f329a32,20260527
5a639703e8ac2b0b736e78fa,20260512
5b2d0c604eacab51deb81e6c,20260525
62b7b57f000000001b0297c7,20260604
652eacdb000000002b0004ae,20260607
5a9dd90111be10578cc3c199,20260520
5f5b1028000000000100313a,20260523
669830f40000000003030c68,20260519
5a577fc011be1055cd95bbc2,20260514
5d139517000000001101597e,20260524
5e4f394c0000000001004bb7,20260529
668109050000000007007eaa,20260606
60cf4a2e0000000001001ded,20260521
5ad0704b4eacab66f67c02cf,20260531
5c765c0a0000000010010a0d,20260601
5c0cf5140000000007005702,20260524
64f919520000000005001398,20260602
6586fb48000000001c03ebdd,20260522
63843c83000000001f01d785,20260602
5d34876e000000001201c007,20260513
59c1f9276a6a6932ac251957,20260522
59d70b236eea8814cb168ee1,20260519
68eb8feb000000003702cd7a,20260515
66d9b709000000001d031e4a,20260603
682b3f21000000000a03c960,20260514
621ba8e4000000001000e172,20260529
61beedca0000000010007954,20260530
60a6930a0000000001009173,20260513
5c47b2fa000000001101c22c,20260603
5c2d5f21000000000600c3b1,20260529
58bf4c5782ec392bbe3bef61,20260530
6429816900000000290109a7,20260518
60feca8f000000000100ae80,20260518
5f104f77000000000100167e,20260512
5c63d69b0000000010021ae7,20260516
60a1d1d3000000000101c469,20260527
5aff8e92f7e8b91eaf4d7d9b,20260518
64be50f10000000014034b5f,20260510
61b754f900000000100065a4,20260517
6911642b00000000320190ce,20260527
5eeee9b6000000000101d6bc,20260518
65734f65000000002002d029,20260514
6844338c000000001d00a362,20260604
5e4909350000000001004d75,20260521
6487a725000000002a036eb9,20260605
6548f82b0000000006007c70,20260519
62178c280000000010004f9b,20260512
601227d30000000001005036,20260511
6208bb8b000000001000c703,20260514
5f8c6445000000000100bf31,20260531
65906c250000000022002c72,20260513
62a487100000000021020ae8,20260515
5c67aba60000000010028abc,20260512
66ad0edb000000001d0233f6,20260529
60d7cd0a0000000001001ec1,20260527
5f871df80000000001000b8c,20260607
60bc83900000000020029b1a,20260521
60fcd08d000000000100a320,20260517
64b396e9000000000a0221ab,20260529
64c1849a0000000014038ba1,20260527
64419359000000001f03158e,20260513
642618c70000000011020ea7,20260605
5c62787a00000000110022bb,20260602
61013de8000000000101edcc,20260602
62675fc5000000001000bba3,20260514
648ebedc0000000011001321,20260513
5f9784cc0000000001002dbd,20260602
597463e76a6a69242249f625,20260526
5a06f4644eacab4499d4bb22,20260520
5ff6898d0000000001009746,20260515
5e16abe30000000001000619,20260602
5e4d58570000000001004624,20260603
5e8e92120000000001002c03,20260608
613dfccc000000000201c5b8,20260530
6219d7fa0000000010007da6,20260603
60bb669d0000000020029e56,20260601
660fb2890000000003030f86,20260607
578554ad6a6a6960f161ada1,20260605
5bb22e0845c6e80001bb38af,20260602
66148ec60000000007007111,20260512
5f4b48b20000000001006768,20260606
5b56b1f8e8ac2b1af9375743,20260601
69aa87500000000032025cd9,20260514
5f4dffea0000000001009052,20260520
5e4b505b000000000100b785,20260511
665747bb000000000d02497e,20260523
615d37510000000002023471,20260512
5b13b0504eacab402e29af78,20260519
60673e0d000000000101f8df,20260530
65d4ce1c000000000401fee8,20260518
648843b70000000012037e87,20260522
630828b80000000012002484,20260511
5b0edee311be103c0e7af644,20260519
67e3df59000000000e01d287,20260516
5efb33f80000000001007c22,20260520
5c6ac09700000000120184c6,20260516
5b1531d54eacab6f206ab7eb,20260519
64293e97000000001102382c,20260608
677f6e0d000000000803f787,20260524
5fd0cb3d000000000100af3b,20260511
5bba0a51ba9df1000155deb1,20260525
65adda95000000000e026db8,20260603
69a13aee0000000021027591,20260511
61b09077000000001000e681,20260525
59e2e6b5153c3c3d4c0773ad,20260513
5ccff775000000001200459b,20260523
637b56f7000000001f018bb5,20260523
5a6b320fe8ac2b14a5a00f96,20260524
5e8011960000000001003eef,20260520
5c51adcf000000001202faea,20260523
604d6a510000000001000b61,20260528
66aededa000000001d0322df,20260606
5aa69f434eacab0b3c14c080,20260602
58d70da75e87e72165fde11f,20260603
6138c653000000000201ebf9,20260608
556a5841a75c951b6ee11b4f,20260512
59df947244363b52a6a99a41,20260517
5d0eba6a000000001201aeef,20260527
671c7fb5000000001d032ab0,20260605
5e2c29620000000001002f07,20260525
5d289c2200000000100076c8,20260525
5ae4665fe8ac2b1d45920f96,20260519
5cfda78b000000001703d763,20260521
6785a8ce000000000803dade,20260512
626282fa00000000210209fe,20260531
6162bf1e000000000201cf2d,20260607
5b5e723b6b58b756e7c02bcc,20260513
6553189d00000000020369f4,20260605
6875d32f000000000d02e1e2,20260525
69a516d10000000021006a48,20260528
5d077580000000001003557b,20260526
68f8c0db000000003702c601,20260601
649abfa4000000002a0365d3,20260526
5bb4747909c3570001a66c9c,20260602
65a8cca30000000008005bcc,20260604
5d8b312e0000000001004eba,20260602
605a34e30000000001003b92,20260514
625a3c980000000021024288,20260520
65bcd408000000000903d57b,20260530
6603885d000000000600c8eb,20260531
69d772f3000000003301ff91,20260521
6096a0b00000000001009690,20260531
636a61c2000000001f01f8fe,20260525
64861637000000001003506e,20260520
6344b8ba000000001901cc0f,20260514
6621078b000000000d025d7d,20260515
5b4fac7311be1070ef37e952,20260528
5f321f1000000000010017c2,20260527
66ebdd19000000000b03269f,20260528
5a5c49b04eacab51381bf710,20260525
5aa29498b1da140e8f37a22b,20260514
60ce9a16000000000100b629,20260511
6630676f0000000007007ecc,20260529
5d1176ed00000000160164dd,20260525
636deb91000000001f01f1c9,20260523
602ccca3000000000101eef1,20260530
5e1a77c200000000010036e0,20260524
5e2d671f0000000001009afb,20260518
68213391000000000e013629,20260517
5a8bfe89e8ac2b4d1a8943ef,20260522
60253d3600000000010070d6,20260604
632dd5fd000000002303e653,20260511
658bf47c0000000022004abc,20260607
67401497000000001d02cda1,20260522
6040f7a70000000001002837,20260512
5f42471f000000000101e2f1,20260518
6493142f000000001c02890b,20260521
6219b228000000001000b3da,20260519
594d15a682ec3957151c9832,20260523
55eae94eb7ba227ba81809cf,20260524
5eb43626000000000100132c,20260522
67a04bdc000000000d009c83,20260526
58e8df456a6a6964258f9859,20260510
62f4a2d7000000001f01785a,20260523
601825ac0000000001003b5e,20260608
5e3a7a22000000000100bb6e,20260601
5cf6f0ba0000000025004631,20260510
6064d8190000000001003369,20260514
62c697950000000002000f7f,20260514
5c28b03d0000000007013a3c,20260526
5c6bc14c000000001101b398,20260516
5fdee6350000000001000c08,20260531
6912fe470000000032026982,20260511
60f641ba000000002002c146,20260525
61c99a59000000001000c818,20260608
630dd6e0000000000f004fa3,20260517
630a254b0000000012002e45,20260515
6406f06d000000001f030643,20260528
5dd7bba90000000001002e8e,20260524
64c7ee47000000000b0060fc,20260526
5be986dca8817000011ada2a,20260520
5a055f55e8ac2b14a9d600b7,20260606
65042f450000000012004ac9,20260520
68d819720000000021019019,20260606
6099f74100000000010032a5,20260515
5f769df0000000000101daa9,20260522
5eabd6c90000000001005a01,20260528
5b617ad411be1002b84c81a2,20260520
689b09190000000019020f11,20260601
694b1d9f0000000037005c1c,20260515
5f8721490000000001006b00,20260515
5d8ddbc600000000010198f1,20260608
5fb3e7990000000001004471,20260526
66f79a85000000000d0266c6,20260605
64e41eec000000000100e6f1,20260604
5ffa6786000000000100a3ba,20260519
5f11c496000000000101ce9e,20260529
641a84190000000014013e5d,20260605
6485e0a90000000012034e36,20260604
6052ddbc000000000100a4ff,20260608
5bb0f2aa16025000019c13b6,20260523
5834616f5e87e7274c56b5f3,20260608
5a3fb09511be10605592481b,20260608
59ce3c976a6a6967fdd1c6a5,20260531
68ead0ba0000000037009ae8,20260520
656424800000000004038f11,20260522
614c916b00000000020206a4,20260526
68d397fb00000000210204ad,20260512
6580fa5400000000200377f1,20260601
5e922a6c000000000100a60e,20260602
60ae56770000000001006e74,20260608
60f43b7d000000000101c299,20260516
6401a208000000001f0319ac,20260515
5c5d7fb60000000012012e1c,20260608
5ef4cb7a0000000001004237,20260526
665c85fb0000000003031563,20260519
5753a30b82ec397cfe243304,20260531
6130a651000000000202287a,20260601
5a89214f4eacab133047588b,20260521
5b15ede0e8ac2b518d6d4a10,20260607
65d1970b0000000005033b90,20260603
5e1c0f170000000001000397,20260511
6342d664000000001802ff83,20260531
597bea4c6a6a6954e884d885,20260527
65ce4335000000000401e19d,20260530
668b3fac000000000b03390c,20260519
5d340418000000001601b4fe,20260606
608fe457000000000101c7e3,20260527
5d01dc510000000016006101,20260528
678f4f80000000000e01e0b8,20260601
607e94a200000000010014ed,20260518
5f1eb019000000000100923a,20260603
5f38e50e000000000100589d,20260525
5c5e78450000000011036a05,20260606
5ecd49ae0000000001000fa5,20260524
652fbb47000000002a02b47a,20260602
5af7f4cde8ac2b15c9d8ebbf,20260601
60e44423000000000101e587,20260514
5a8b96b24eacab33bf0de514,20260601
63e3c9f30000000027037a70,20260513
5d63fa8d000000000101a92d,20260603
5dbbf1b200000000010067f9,20260525
5bfbd3431c23640001b449cc,20260521
5ef18c8e0000000001005a4f,20260606
5e19afc40000000001005ef0,20260607
5a9e74b9e8ac2b3b140fe64a,20260512
58c6305a50c4b401db9dca19,20260515
5571bb5624caa907ffec0ab8,20260527
64074b880000000029015e4a,20260601
5f6874ca00000000010017e8,20260605
65445dd6000000000200cf3f,20260605
5db2a2ce0000000001008415,20260526
5ae4df23e8ac2b5592d6b4bb,20260531
5f1845280000000001009629,20260601
63fd77d8000000001f033397,20260520
5b25f1664eacab0bde53b80c,20260531
5c53da8600000000100398de,20260522
5daad39d000000000100338f,20260517
618e449d000000001000b2bd,20260603
5b446d45e8ac2b383ece3452,20260601
5dfdb535000000000100ac7e,20260608
5b67cc5f1e576f000192e481,20260513
6280708a000000002102055e,20260527
62ade0ea000000001b02adf8,20260515
611b2db70000000020028710,20260607
6207f1e300000000210240af,20260528
64678a50000000002a00b9d6,20260520
6524fd47000000002a02be6c,20260528
5960b4635e87e7106c9c1a67,20260516
607ec9110000000001004e50,20260526
5fb110f50000000001007478,20260512
632732b60000000023039df0,20260521
5e1fd69e00000000010099cf,20260520
5f0c63970000000001005aac,20260603
5f8d7e870000000001000ca6,20260516
67a2f45f000000000e01051d,20260608
63523a17000000001901d7d4,20260521
573c83d96a6a6934377bdd48,20260524
5cf1fc080000000012038e96,20260528
5d34372200000000120065ba,20260531
5c19d671000000000702dd56,20260601
670d1340000000001d0314a8,20260530
65859986000000003d034555,20260512
5d42f1f10000000011020867,20260510
66eb894e000000001d033fda,20260526
5936a8c7b1da14573f0ad06c,20260521
61547f5500000000020219e2,20260602
60caa0f0000000000101df48,20260607
5c539388000000001b0224f2,20260529
613396c600000000020235d4,20260515
668e3d1a000000000f034d2a,20260513
5fca365d000000000100b3cf,20260529
69eb609f0000000002002801,20260527
5dd364420000000001000adf,20260510
5f323d160000000001002d0f,20260531
60d51c660000000020025093,20260523
6850c5f7000000001b01993b,20260604
64c291550000000014035079,20260602
5d06604e000000001603587e,20260512
63985a74000000002702b0d6,20260518
61553d9e0000000002020321,20260603
62f8a308000000001e01d33d,20260528
63cfa2a60000000027029194,20260608
607ec322000000000101e136,20260529
65e8705f000000000500f742,20260601
5e76bef7000000000100254d,20260510
5d064461000000001000656e,20260530
5d1f0199000000001602eef8,20260527
5cebd2da000000001803bbb4,20260605
623c96390000000010007e6f,20260518
5bf4c56b49b72000019fcaa0,20260605
69d4a2da0000000033024f16,20260516
5ccaedf100000000170038dc,20260603
615685b800000000020223f5,20260602
621651aa0000000010005bf2,20260523
5d065d2d000000001101c958,20260530
5c6714330000000010006133,20260529
5dd62a22000000000100108f,20260513
69e736b90000000002001c05,20260525
64d6db580000000001012525,20260524
696349b0000000003700215c,20260608
59e37be0153c3c185fec4979,20260527
60fe33cf000000000101c9b4,20260517
691c192c000000003702b01d,20260512
5dab428300000000010066c0,20260516
65e81d1d000000000500e3f7,20260529
5e40f3b20000000001006159,20260602
5dd5105b000000000100953d,20260524
648587b4000000001001ebab,20260527
6749dc11000000001d02ec04,20260530
668504a6000000000f0375e8,20260511
5f24f0a7000000000101f3ee,20260531
6107882a0000000001009321,20260602
5768163350c4b40adc814764,20260514
6153fbf70000000002027601,20260601
5b76f3b6afee930001d4614f,20260531
592cb17e50c4b446f3ad69bb,20260515
649ee5e80000000011001712,20260511
6197008a000000001000ef42,20260523
5e608e8d0000000001007e0e,20260521
626e16e50000000021023f38,20260511
5f03502a000000000101fc6d,20260529
5bbd6fd3ea147800012faa8a,20260527
5dfac741000000000100599a,20260513
5ce906200000000005030691,20260521
5bc370fdea3875000162dc12,20260530
60ed93e800000000010054c4,20260607
5be8d4fa966a5500018fae4f,20260528
5fd96cd200000000010089bc,20260527
66868b54000000000f0357db,20260510
61aea543000000001000f12d,20260607
5e6391050000000001003cf4,20260601
61fd464700000000100077be,20260528
6191f0e300000000100056a1,20260519
67c3e10b000000000d00ade7,20260514
5a47d77ce8ac2b6073e43d9a,20260515
620a391e000000001000b65f,20260608
5e6eed300000000001002ee2,20260523
60a1e7430000000001004ef2,20260526
63e235b0000000002601372b,20260608
62d4b16a000000000200126a,20260530
66b96d2d000000000d0267f1,20260513
69941959000000002102793f,20260529
6787e0d2000000000801c482,20260605
64f35006000000000603376e,20260513
5ac3722b11be105771a7b9c7,20260608
5f0022f0000000000101e538,20260526
5a96b82511be101ecec6a4df,20260604
68764d0f000000001e03c838,20260605
6396dd5d000000002702ad61,20260518
60bd75b0000000000101cf42,20260601
5f05d64c00000000010040a0,20260603
666eec0f00000000030315d3,20260528
5d29f32100000000110034d8,20260603
6018166b000000000100a4ba,20260604
5f322a7f000000000101e54a,20260601
5f60f2bd0000000001003ee5,20260521
5ffd899d000000000101e0e2,20260510
66373a7500000000030318ee,20260601
5d22f1a10000000012036409,20260519
5e7781d300000000010048c0,20260519
5e5bf2a30000000001005fd8,20260510
601d05dc00000000010022b8,20260607
603caeee0000000001005f18,20260521
5f749a830000000001009583,20260607
61b8a9b6000000002102874b,20260521
5bb0be87f2407b00016342dc,20260530
68bab07b000000001901d16f,20260511
6363c46b000000002302a0e5,20260601
5be59c6b948ca9000191f219,20260514
63e0589c00000000260102fd,20260523
6203cbca000000002102626c,20260519
607587c9000000000100432a,20260602
59e2f21027d59446ee7d23f4,20260510
6545a5a30000000006007efb,20260526
5f713bbc000000000101eed7,20260604
5dfb0cca0000000001004357,20260528
69286026000000000300f1a7,20260606
5be5527166a0570001987aa1,20260606
5b9f392437d9bd00015bf8df,20260514
6524a7fe000000002b0006da,20260602
5b1e14e3e8ac2b1170ff0308,20260524
667a4aa2000000000303084e,20260527
64edeb1d0000000001012345,20260524
5c87828b000000001202b233,20260522
5be64e42e4034f000195c559,20260519
5f5cc94100000000010030e7,20260521
